State,Sector,Year,Employment (2012=100),Employment (percent change),Hourly labor compensation (2012=100),Hourly labor compensation (percent change),Hourly labor compensation cost ($/hour),Hourly labor compensation cost (percent change),Hours (2012=100),Hours (percent change),Implicit output deflator (2012=100),Implicit output deflator (percent change),Labor compensation (2012=100),Labor compensation (percent change),Labor compensation cost (million $),Labor compensation cost (percent change),Labor productivity (2012=100),Labor productivity (percent change),Number of employees (percent change),Number of employees (thousands),Number of hours (millions),Number of hours (percent change),Output (2012=100),Output (percent change),Output per employee (2012=100),Output per employee (percent change),Real hourly labor compensation (2012=100),Real hourly labor compensation (percent change),Real hourly labor compensation cost ($/hour),Real hourly labor compensation cost (percent change),Real labor compensation (2012=100),Real labor compensation (percent change),Real labor compensation cost (million $),Real labor compensation cost (percent change),Unit labor cost (2012=100),Unit labor cost (percent change),Value of production (million $),Value of production (percent change)
Alabama,Private Nonfarm,2007,109.312,,88.207,,25.104,,111.179,,91.785,,98.068,,79078.978,,90.268,,,1786.531,3150.003,,100.359,,91.81,,98.478,,31.919,,109.487,,100544.415,,97.717,,131017.921,
Alabama,Private Nonfarm,2008,105.771,-3.2,92.369,4.7,26.289,4.7,105.856,-4.8,93.545,1.9,97.778,-0.3,78844.621,-0.3,93.91,4.0,-3.2,1728.658,2999.17,-4.8,99.409,-0.9,93.985,2.4,99.271,0.8,32.176,0.8,105.084,-4.0,96501.227,-4.0,98.359,0.7,132265.709,1.0
Alabama,Private Nonfarm,2009,99.487,-5.9,97.805,5.9,27.836,5.9,95.843,-9.5,94.834,1.4,93.74,-4.1,75588.666,-4.1,97.352,3.7,-5.9,1625.955,2715.493,-9.5,93.305,-6.1,93.786,-0.2,105.575,6.4,34.219,6.3,101.187,-3.7,92922.613,-3.7,100.466,2.1,125856.079,-4.8
Alabama,Private Nonfarm,2010,99.046,-0.4,99.169,1.4,28.224,1.4,96.281,0.5,95.862,1.1,95.481,1.9,76992.61,1.9,100.125,2.8,-0.4,1618.753,2727.896,0.5,96.402,3.3,97.33,3.8,104.778,-0.8,33.961,-0.8,100.882,-0.3,92642.114,-0.3,99.045,-1.4,131441.376,4.4
Alabama,Private Nonfarm,2011,98.814,-0.2,101.158,2.0,28.79,2.0,96.638,0.4,97.924,2.2,97.757,2.4,78827.926,2.4,102.04,1.9,-0.2,1614.951,2738.0,0.4,98.609,2.3,99.793,2.5,103.869,-0.9,33.666,-0.9,100.377,-0.5,92178.639,-0.5,99.136,0.1,137342.683,4.5
Alabama,Private Nonfarm,2012,100.0,1.2,100.0,-1.1,28.461,-1.1,100.0,3.5,100.0,2.1,100.0,2.3,80636.557,2.3,100.0,-2.0,1.2,1634.341,2833.265,3.5,100.0,1.4,100.0,0.2,100.0,-3.7,32.412,-3.7,100.0,-0.4,91832.56,-0.4,100.0,0.9,142233.632,3.6
Alabama,Private Nonfarm,2013,101.283,1.3,101.084,1.1,28.769,1.1,101.679,1.7,101.452,1.5,102.782,2.8,82879.656,2.8,99.426,-0.6,1.3,1655.304,2880.841,1.7,101.096,1.1,99.816,-0.2,99.95,0.0,32.396,0.0,101.628,1.6,93327.541,1.6,101.667,1.7,145880.891,2.6
Alabama,Private Nonfarm,2014,102.058,0.8,105.683,4.5,30.078,4.6,100.565,-1.1,103.626,2.1,106.28,3.4,85700.614,3.4,100.097,0.7,0.8,1667.981,2849.26,-1.1,100.662,-0.4,98.632,-1.2,103.58,3.6,33.573,3.6,104.165,2.5,95657.151,2.5,105.581,3.8,148366.842,1.7
Alabama,Private Nonfarm,2015,103.404,1.3,108.43,2.6,30.86,2.6,102.281,1.7,105.487,1.8,110.903,4.3,89428.35,4.3,99.748,-0.3,1.3,1689.977,2897.888,1.7,102.024,1.4,98.665,0.0,106.466,2.8,34.508,2.8,108.895,4.5,100000.706,4.5,108.703,3.0,153074.368,3.2
Alabama,Private Nonfarm,2016,105.502,2.0,109.119,0.6,31.056,0.6,104.656,2.3,106.558,1.0,114.2,3.0,92086.849,3.0,98.518,-1.2,2.0,1724.261,2965.176,2.3,103.104,1.1,97.727,-1.0,106.748,0.3,34.599,0.3,111.718,2.6,102593.13,2.6,110.761,1.9,156265.773,2.1
Alabama,Private Nonfarm,2017,106.85,1.3,112.203,2.8,31.934,2.8,105.165,0.5,108.51,1.8,117.999,3.3,95149.937,3.3,99.447,0.9,1.3,1746.291,2979.603,0.5,104.584,1.4,97.879,0.2,107.489,0.7,34.84,0.7,113.041,1.2,103808.555,1.2,112.827,1.9,161411.784,3.3
Alabama,Private Nonfarm,2018,108.357,1.4,115.908,3.3,32.988,3.3,106.64,1.4,111.217,2.5,123.604,4.8,99669.743,4.8,101.454,2.0,1.4,1770.925,3021.386,1.4,108.19,3.4,99.846,2.0,108.127,0.6,35.046,0.6,115.306,2.0,105888.451,2.0,114.246,1.3,171145.01,6.0
Alabama,Private Nonfarm,2019,109.922,1.4,120.077,3.6,34.175,3.6,107.35,0.7,112.961,1.6,128.902,4.3,103942.504,4.3,103.805,2.3,1.4,1796.497,3041.517,0.7,111.435,3.0,101.377,1.5,110.026,1.8,35.662,1.8,118.113,2.4,108466.011,2.4,115.675,1.3,179040.839,4.6
Alaska,Private Nonfarm,2007,97.903,,86.37,,32.791,,97.089,,97.345,,83.856,,15356.777,,91.518,,,273.179,468.319,,88.854,,90.757,,94.534,,34.165,,91.782,,16000.125,,94.375,,38907.994,
Alaska,Private Nonfarm,2008,97.833,-0.1,90.523,4.8,34.368,4.8,95.905,-1.2,111.774,14.8,86.816,3.5,15899.016,3.5,91.757,0.3,-0.1,272.983,462.61,-1.2,88.0,-1.0,89.949,-0.9,95.378,0.9,34.47,0.9,91.472,-0.3,15946.208,-0.3,98.655,4.5,44245.932,13.7
Alaska,Private Nonfarm,2009,94.865,-3.0,93.839,3.7,35.627,3.7,93.834,-2.2,87.144,-22.0,88.053,1.4,16125.479,1.4,104.46,13.8,-3.0,264.702,452.619,-2.2,98.019,11.4,103.324,14.9,99.193,4.0,35.849,4.0,93.076,1.8,16225.859,1.8,89.833,-8.9,38423.606,-13.2
Alaska,Private Nonfarm,2010,96.454,1.7,94.384,0.6,35.834,0.6,95.33,1.6,97.9,12.3,89.976,2.2,16477.648,2.2,98.267,-5.9,1.7,269.136,459.836,1.6,93.678,-4.4,97.122,-6.0,99.401,0.2,35.924,0.2,94.76,1.8,16519.278,1.8,96.048,6.9,41254.341,7.4
Alaska,Private Nonfarm,2011,99.261,2.9,95.016,0.7,36.074,0.7,101.098,6.1,104.276,6.5,96.059,6.8,17591.652,6.8,92.764,-5.6,2.9,276.967,487.658,6.1,93.783,0.1,94.481,-2.7,97.396,-2.0,35.2,-2.0,98.466,3.9,17165.391,3.9,102.427,6.6,43990.493,6.6
Alaska,Private Nonfarm,2012,100.0,0.7,100.0,5.2,37.966,5.2,100.0,-1.1,100.0,-4.1,100.0,4.1,18313.361,4.1,100.0,7.8,0.7,279.03,482.361,-1.1,100.0,6.6,100.0,5.8,100.0,2.7,36.141,2.7,100.0,1.6,17432.837,1.6,100.0,-2.4,44983.12,2.3
Alaska,Private Nonfarm,2013,102.346,2.3,103.884,3.9,39.441,3.9,101.098,1.1,103.635,3.6,105.025,5.0,19233.553,5.0,93.516,-6.5,2.3,285.575,487.658,1.1,94.543,-5.5,92.376,-7.6,102.856,2.9,37.173,2.9,103.985,4.0,18127.605,4.0,111.087,11.1,44074.294,-2.0
Alaska,Private Nonfarm,2014,102.124,-0.2,108.634,4.6,41.244,4.6,98.205,-2.9,103.849,0.2,106.684,1.6,19537.446,1.6,93.014,-0.5,-0.2,284.956,473.701,-2.9,91.344,-3.4,89.444,-3.2,104.373,1.5,37.721,1.5,102.499,-1.4,17868.421,-1.4,116.794,5.1,42670.642,-3.2
Alaska,Private Nonfarm,2015,101.226,-0.9,111.67,2.8,42.397,2.8,98.528,0.3,89.958,-13.4,110.027,3.1,20149.566,3.1,94.657,1.8,-0.9,282.452,475.262,0.3,93.264,2.1,92.134,3.0,107.927,3.4,39.006,3.4,106.339,3.7,18537.912,3.7,117.974,1.0,37739.819,-11.6
Alaska,Private Nonfarm,2016,99.793,-1.4,109.44,-2.0,41.55,-2.0,95.813,-2.8,88.904,-1.2,104.858,-4.7,19202.992,-4.7,94.911,0.3,-1.4,278.453,462.165,-2.8,90.937,-2.5,91.126,-1.1,104.334,-3.3,37.707,-3.3,99.965,-6.0,17426.804,-6.0,115.308,-2.3,36367.452,-3.6
Alaska,Private Nonfarm,2017,98.233,-1.6,108.027,-1.3,41.014,-1.3,95.162,-0.7,94.151,5.9,102.801,-2.0,18826.248,-2.0,96.17,1.3,-1.6,274.098,459.025,-0.7,91.517,0.6,93.164,2.2,101.524,-2.7,36.692,-2.7,96.613,-3.4,16842.334,-3.4,112.329,-2.6,38759.476,6.6
Alaska,Private Nonfarm,2018,98.898,0.7,112.699,4.3,42.787,4.3,96.212,1.1,99.432,5.6,108.43,5.5,19857.227,5.5,95.915,-0.3,0.7,275.954,464.091,1.1,92.282,0.8,93.31,0.2,103.695,2.1,37.476,2.1,99.767,3.3,17392.272,3.3,117.499,4.6,41275.436,6.5
